"STORE_ID";"STORE_NAME";"PHONE_NUMBER";"ADDRESS";"MANAGER_ID"
1;"Herman-Lindgren";"728-736-4789";"77 Dovetail Circle";1
2;"Predovic-Kling";"368-571-7897";"49466 Brown Park";2
3;"Walker LLC";"331-543-7511";"53 3rd Point";3
4;"Klein Inc";"558-736-7730";"99 Riverside Drive";4
5;"Heaney, Cronin and Gerlach";"919-952-3116";"4108 Bluestem Plaza";5
6;"Zieme-Langosh";"673-212-4481";"02 Mcbride Point";6
7;"Jones Inc";"105-713-8725";"87 Golf Alley";7
8;"Lubowitz and Sons";"536-395-8861";"2272 Bayside Parkway";8
9;"Kovacek, Rodriguez and Kohler";"740-182-2949";"6 Rowland Hill";9
10;"Bergstrom-Schmitt";"284-338-6160";"920 Blaine Avenue";10
